"You have cancelled your Afterpay payment. Please select an alternative payment method.","You have cancelled your Afterpay payment. Please select an alternative payment method."
"Afterpay payment declined. Please select an alternative payment method.","Afterpay payment declined. Please select an alternative payment method."
"Authorization date expired","Authorization date expired"
"Afterpay payment method is not active","Afterpay payment method is not active"
"Afterpay Transaction Completed","Afterpay Transaction Completed"
"There was a problem placing your order. Your Afterpay order %1 is refunded.","There was a problem placing your order. Your Afterpay order %1 is refunded."
"4 interest-free installments of","4 interest-free installments of"
"4 interest-free instalments of","4 interest-free instalments of"
"Four interest-free payments totalling","Four interest-free payments totalling"
"Continue to Afterpay","Continue to Afterpay"
"First payment","First payment"
"You will be redirected to the Afterpay website to fill out your payment information. You will be redirected back to our site to complete your order.","You will be redirected to the Afterpay website to fill out your payment information. You will be redirected back to our site to complete your order."
"You will be redirected to the Afterpay website when you proceed to checkout.","You will be redirected to the Afterpay website when you proceed to checkout."
"Shipping is unavailable for this address, or all options exceed Afterpay order limit.","Shipping is unavailable for this address, or all options exceed Afterpay order limit."
"You have cancelled your Afterpay payment.","You have cancelled your Afterpay payment."
"Payment is failed","Payment is failed"
"There are issues when processing your payment. Invalid Amount","There are issues when processing your payment. Invalid Amount"
"There are issues when processing your payment. Invalid Cart Items","There are issues when processing your payment. Invalid Cart Items"
"Order amount exceed Afterpay order limit.","Order amount exceed Afterpay order limit."
"No afterpay token provided!","No afterpay token provided!"
"Afterpay merchant configuration fetching is failed. Wrong credentials.","Afterpay merchant configuration fetching is failed. Wrong credentials."
"Afterpay merchant configuration fetching is failed. See logs.","Afterpay merchant configuration fetching is failed. See logs."
"Afterpay merchant configuration fetching is success.","Afterpay merchant configuration fetching is success."
"Unable to fetch Afterpay merchant configuration due to unsupported merchant country. Supported countries: AU, CA, NZ, US.","Unable to fetch Afterpay merchant configuration due to unsupported merchant country. Supported countries: AU, CA, NZ, US."
"Unable to fetch Afterpay merchant configuration due to unsupported merchant currency. Supported countries: %1.","Unable to fetch Afterpay merchant configuration due to unsupported merchant currency. Supported countries: %1."
"Update Merchant Configuration","Update Merchant Configuration"
Update limit configuration and specific countries from Afterpay API.,Update limit configuration and specific countries from Afterpay API.
"Terms & Conditions","Terms & Conditions"
